,Review,Title
0,"
A must see!!! Fantastic architecture from the roman times! Very cool area to check our surrounding it also.
",Wow!
1,"
My husband and I walked past the colosseum, it was so packed with tourists. We didn't even stop to take pictures. There are a lot of very large walking tours in Rome and honestly they just get in the way. I couldn't even stop to enjoy this attraction.
",Sooooo crowded!
2,"
This is the most awesome piece of history I've ever seen in my whole life. You can walk around it as long as you like. They also have very good guides at different times during the day. For only 5€ it's totally worth it.
",Astonishing
3,"
We had two days in Rome. This is a must see. Simply amazing architecture considering that a was built so long ago. We booked a tour which was very good and helped us to avoid long lines and individuals trying to sell you things.
",Anniversary celebration 
4,"
Went to the Colosseum told a look a the queues and left again could have bought jump the queues tickets but had already had a couple of girls try to pick my pockets on the metro been ripped of by cafes that price things at take away prices and then are doubled if you drink in. And had the ""marketing...


More  


",Queues Queues and yet more Queues 
5,"
One can never been senseless when facing such piece of history. It is a fantastic monument, we can walk around the corridors and imagine how it would be to be there in a sold out Colosseum with nearly 70.000 people. But with little imagination, we can also think on the suffering and paine of those used to amuse the crowds....


More  


",History
6,"
Cool experience but maybe not worth waiting in a really really long line. Get the audio tour, otherwise, not worth the walk around the inside. We didn't do a guided tour and that might be where the value lines. The audio tour does explain quite a bit. A little confusing/difficult to navigate around the tour groups (outside companies) who are...


More  


",Good if you get the skip-the-line ticket in advance. Otherwise you may want to just see from the outside.
7,"
This colosseum is a must see attraction that's what is said but unfortunately even though we had been at the door step we did not enter as it was very very crowded and the heat was at it's peak even to get in to take ticket through tour group which is better and faster we would have had to spend...


More  


",The best attraction in Rome
8,"
We bought a tour ahead of time and SO glad we did! We were told to and understand why... The lines are huge. And if you don't have a ticket ahead of time you will waste so much time.
Find any tour, too. Whatever is most affordable. You're going for the view and can look it up if you have...


More  


",Loved it!!! Buy advanced tickets or take a tour!!!
9,"
I highly recommend buying tickets online!!! It's the coloseum, even if you had a layover in Rome for 1/2 day, you'd want to try to see this, it's worth it. There's even a subway stop right across the street.
","It's the Colosseum, enough said."
0,"
We knew some bit of Colosseum history from books and movies already. Still we chose to take a guided tour to know a bit more, which didn't end up well. The guide couldn't provide anything new. I would suggest to visit this place yourselves taking some time. You can read all the information on the boards inside. You will know...


More  


",Amazing
1,"
You know all about it and have seen all the pictures but it still delivers an amazing experience.
12 euros for the colloseum and the Forum really good value.
Watch the skip the line offers outside. Double the price to avoid the 45 minute queue - which turned out to be a 5 minute queue!!
",Amazing 
